date,air_temp_c,shortwave_w_m2,wind_speed_m_s,observed_lst_c
2026-05-01,15.132,278.379,3.426,11.61
2026-05-02,15.11,327.983,3.152,
2026-05-03,15.659,358.575,3.523,
2026-05-04,14.706,384.671,3.065,
2026-05-05,18.132,387.853,3.591,
2026-05-06,18.119,453.253,3.313,
2026-05-07,17.522,400.19,2.779,
2026-05-08,18.705,387.969,2.686,13.531
2026-05-09,18.754,468.701,3.065,
2026-05-10,18.541,391.824,3.428,
2026-05-11,19.96,462.712,3.093,
2026-05-12,19.379,415.082,3.031,
2026-05-13,19.657,464.038,2.905,
2026-05-14,19.593,403.579,3.095,
2026-05-15,20.694,498.305,2.95,15.538
2026-05-16,20.501,474.702,2.867,
2026-05-17,21.111,457.915,2.491,
2026-05-18,20.428,544.122,2.973,
2026-05-19,21.028,522.838,2.955,
2026-05-20,20.363,506.605,2.225,
2026-05-21,21.588,487.434,3.063,
2026-05-22,21.104,512.246,2.605,17.086
2026-05-23,21.14,511.539,2.239,
2026-05-24,21.095,540.251,1.823,
2026-05-25,19.962,543.63,2.403,
2026-05-26,21.045,499.956,2.319,
2026-05-27,21.728,502.929,1.973,
2026-05-28,18.901,501.991,1.62,
2026-05-29,18.564,475.15,2.297,17.278
2026-05-30,18.418,494.705,1.82,
2026-05-31,19.729,505.669,1.803,
2026-06-01,18.873,524.352,2.59,
2026-06-02,19.157,537.639,2.373,
2026-06-03,18.506,467.438,2.046,
2026-06-04,17.726,501.177,1.664,
2026-06-05,17.34,463.615,1.915,16.498
2026-06-06,16.572,530.895,1.162,
2026-06-07,16.837,458.311,1.744,
2026-06-08,14.969,465.468,1.516,
2026-06-09,14.99,412.508,1.38,
2026-06-10,14.98,406.079,1.305,
2026-06-11,15.596,425.941,1.836,
2026-06-12,13.329,397.608,1.737,14.409
2026-06-13,12.646,408.785,1.769,
2026-06-14,12.554,340.273,1.959,
2026-06-15,13.186,395.885,1.561,
2026-06-16,11.918,337.962,1.492,
2026-06-17,12.604,405.636,1.39,
2026-06-18,9.98,334.49,1.787,
2026-06-19,11.719,365.474,2.102,12.193
2026-06-20,11.317,280.417,1.92,
2026-06-21,9.291,325.209,2.166,
2026-06-22,10.112,276.199,1.762,
2026-06-23,10.608,279.218,1.994,
2026-06-24,9.604,286.09,1.976,
2026-06-25,10.062,267.962,1.914,
2026-06-26,10.879,278.169,2.752,10.273
2026-06-27,9.3,286.129,2.562,
2026-06-28,8.841,277.472,2.221,
2026-06-29,8.463,250.222,2.283,
2026-06-30,9.46,207.701,2.524,
2026-07-01,8.911,221.048,2.241,
2026-07-02,9.002,236.746,2.773,
2026-07-03,9.169,177.26,2.402,8.71
2026-07-04,9.85,262.648,2.693,
2026-07-05,8.836,232.948,2.588,
2026-07-06,8.733,233.528,2.78,
2026-07-07,8.354,271.324,2.621,
2026-07-08,11.182,265.578,2.611,
2026-07-09,10.709,255.683,2.811,
2026-07-10,12.056,223.35,2.926,8.866
2026-07-11,11.36,267.836,3.063,
2026-07-12,11.237,274.807,3.19,
2026-07-13,12.501,244.503,3.587,
2026-07-14,12.541,309.655,3.436,
2026-07-15,12.16,301.542,3.193,
2026-07-16,12.874,235.755,3.456,
2026-07-17,15.195,307.576,3.116,10.194
2026-07-18,14.678,275.53,3.659,
2026-07-19,15.196,357.532,3.437,
2026-07-20,15.187,357.98,2.959,
2026-07-21,15.371,311.28,3.481,
2026-07-22,16.946,328.684,3.484,
2026-07-23,16.708,369.283,2.593,
2026-07-24,16.699,370.148,3.056,12.315
2026-07-25,17.571,434.17,3.098,
2026-07-26,17.448,421.691,2.704,
2026-07-27,18.613,401.915,2.885,
2026-07-28,19.647,438.445,2.876,
2026-07-29,18.624,370.631,3.197,
2026-07-30,20.534,451.047,3.099,
2026-07-31,19.364,477.506,3.631,14.878
2026-08-01,20.206,455.459,2.823,
2026-08-02,19.748,448.326,3.155,
2026-08-03,20.379,494.848,2.829,
2026-08-04,20.734,544.257,2.817,
2026-08-05,20.527,498.607,2.399,
2026-08-06,20.433,465.094,2.149,
2026-08-07,20.507,547.597,2.372,16.683
2026-08-08,20.425,452.592,2.691,
