date,air_temp_c,shortwave_w_m2,wind_speed_m_s,observed_lst_c
2008-01-01,11.804,307.361,2.444,9.385
2009-01-01,12.036,303.543,2.153,10.159
2010-01-01,12.676,305.926,2.18,
2011-01-01,12.462,306.389,2.27,10.903
2012-01-01,11.861,315.394,2.412,10.571
2013-01-01,12.44,312.061,2.428,
2014-01-01,12.342,325.39,2.194,10.909
2015-01-01,12.662,299.481,2.209,10.989
2016-01-01,12.223,314.681,2.18,
2017-01-01,12.867,308.158,2.212,11.059
2018-01-01,12.953,322.089,2.264,11.202
2019-01-01,13.443,299.526,2.28,
2020-01-01,13.154,314.309,2.609,11.302
2021-01-01,13.3,319.328,2.224,11.581
2022-01-01,12.787,306.361,2.257,
2023-01-01,13.999,326.705,2.369,11.644
2024-01-01,12.837,320.841,2.157,11.606
2025-01-01,13.831,328.055,2.245,
