date,air_temp_c,shortwave_w_m2,wind_speed_m_s,observed_lst_c
2024-01-01,8.939,258.43,2.554,7.02
2024-02-01,8.356,296.165,2.795,
2024-03-01,11.716,345.396,2.6,8.499
2024-04-01,13.166,363.801,2.791,
2024-05-01,15.145,376.033,2.283,10.802
2024-06-01,17.075,406.143,2.344,
2024-07-01,17.788,350.38,2.467,13.233
2024-08-01,20.026,436.571,2.406,
2024-09-01,20.72,400.723,1.779,15.657
2024-10-01,23.443,384.707,1.903,
2024-11-01,22.113,416.251,1.912,17.44
2024-12-01,21.621,412.198,1.673,
2025-01-01,21.043,372.166,1.924,17.575
2025-02-01,19.854,338.617,1.453,
2025-03-01,18.328,336.939,1.657,16.454
2025-04-01,17.053,309.93,1.446,
2025-05-01,15.685,313.152,1.842,14.828
2025-06-01,13.406,274.743,1.683,
2025-07-01,12.06,240.305,1.709,12.447
2025-08-01,9.604,238.269,1.606,
2025-09-01,7.993,195.459,2.23,9.728
2025-10-01,7.265,169.28,2.216,
2025-11-01,5.58,192.955,2.346,7.173
2025-12-01,4.231,191.952,2.531,
2026-01-01,3.965,180.628,2.533,5.422
2026-02-01,4.319,179.274,2.493,
2026-03-01,5.427,214.431,2.558,4.981
2026-04-01,5.134,179.103,2.625,
2026-05-01,6.318,265.237,2.991,5.554
2026-06-01,8.419,285.987,2.581,
